ID,ISO,Code,Name,Cases,Deaths,Recovered,Population
1,KAZ,KAZ,Kazakhstan,90367,793,60825,18280000
2,KGZ,KGZ,Kyrgyzstan,35805,1378,25037,6316000
3,TJK,TJK,Tajikistan,7409,60,6193,9101000
4,TKM,TKM,Turkmenistan,0,0,0,5851000
5,UZB,UZB,Uzbekistan,24009,141,14464,32960000
