ID,ISO,Code,Name,Cases,Deaths,Recovered,Pop
1,KAZ,KAZ,Kazakhstan,89078,793,38008,"18,280,000"
2,KGZ,KGZ,Kyrgyzstan,35805,1378,3538,"6,316,000"
3,TJK,TJK,Tajikistan,7366,60,5332,"9,101,000"
4,TKM,TKM,Turkmenistan,0,0,0,"5,851,000"
5,UZB,UZB,Uzbekistan,23558,137,8327,"32,960,000"
